Informe de campaña
1 de enero de 2025 - 31 de diciembre de 2025
Estado de la campaña,Campaña,Presupuesto,Nombre de presupuesto,Tipo de presupuesto,Código de moneda,Estado,Motivos del estado,Nivel de optimización,Tipo de campaña,CPV medio de TrueView,CPM medio,Impr.,Interacciones,Tasa de interacción,Coste medio,Coste,Conv. (comparables con otras plataformas),Coste/conv. (comparable con otras plataformas),Valor de conv./coste (comparable con otras plataformas),Coste/conv.,Conversiones,Tipo de estrategia de puja,CTR visible,CPM medio visible,Impr. visibles,Clics,Tasa de conv.,Valor de conv.,Valor conv./coste,CPC medio,Valor de conv. original
En pausa,AE Rosario Superlow a Mendoza,"100,00", --,Diario,ARS,En pausa,campaña en pausa; se han rechazado la mayoría de los anuncios, --,Display,0,0,0,0, --,0,"0,00","0,00",0,0,"0,00","0,00",Maximizar clics, --,0,0,0,"0,00%","0,00","0,00",0,"0,00"
En pausa,HOTSALE YOUTUBE,"602,00", --,Diario,ARS,En pausa,desconocido; campaña en pausa; campaña finalizada, --,Vídeo,0,0,0,0, --,0,"0,00","0,00",0,0,"0,00","0,00",CPV máximo, --,0,0,0,"0,00%","0,00","0,00",0,"0,00"
En pausa,(Flow Mes) - Paquete Millonario #Display CPC,"250,00", --,Diario,ARS,En pausa,campaña en pausa; campaña finalizada, --,Display,0,0,0,0, --,0,"0,00","0,00",0,0,"0,00","0,00",CPC (mejorado), --,0,0,0,"0,00%","0,00","0,00",0,"0,00"
En pausa,Display_SantaCruz,"1000,00", --,Diario,ARS,En pausa,desconocido; campaña en pausa, --,Display,0,0,0,0, --,0,"0,00","0,00",0,0,"0,00","0,00",Maximizar conversiones, --,0,0,0,"0,00%","0,00","0,00",0,"0,00"
En pausa,PMax_BRCaMZA,"150,00", --,Diario,ARS,En pausa,desconocido; campaña en pausa, --,Rendimiento máximo,0,0,0,0, --,0,"0,00","0,00",0,0,"0,00","0,00",Maximizar conversiones, --,0,0,0,"0,00%","0,00","0,00",0,"0,00"
En pausa,(a17) Mendoza,"250,00", --,Diario,ARS,En pausa,desconocido; campaña en pausa, --,Buscar,0,0,0,0, --,0,"0,00","0,00",0,0,"0,00","0,00",CPC (mejorado), --,0,0,0,"0,00%","0,00","0,00",0,"0,00"
En pausa,CyberMonday_2016_Search,"2000,00", --,Diario,ARS,En pausa,campaña en pausa; campaña finalizada; se han rechazado la mayoría de los anuncios, --,Buscar,0,0,0,0, --,0,"0,00","0,00",0,0,"0,00","0,00",CPC (mejorado), --,0,0,0,"0,00%","0,00","0,00",0,"0,00"
En pausa,PretemporadaVerano_Display_p,"1,00", --,Diario,ARS,En pausa,desconocido; campaña en pausa, --,Display,0,0,0,0, --,0,"0,00","0,00",0,0,"0,00","0,00",Maximizar clics, --,0,0,0,"0,00%","0,00","0,00",0,"0,00"
En pausa,AE Competencia Brand Plataforma 10,"200,00", --,Diario,ARS,En pausa,campaña en pausa, --,Buscar,0,0,0,0, --,0,"0,00","0,00",0,0,"0,00","0,00",Maximizar clics, --,0,0,0,"0,00%","0,00","0,00",0,"0,00"
En pausa,AE Andesmar Chile Pasajes,"100,00", --,Diario,ARS,En pausa,campaña en pausa, --,Buscar,0,0,0,0, --,0,"0,00","0,00",0,0,"0,00","0,00",Maximizar conversiones (CPA objetivo), --,0,0,0,"0,00%","0,00","0,00",0,"0,00"
