"Domain ","Market Share ","Visits ","Visits previous","Visits difference %","Visits difference","Direct ","Direct previous","Direct difference %","Direct difference","AI Traffic ","AI Traffic previous","AI Traffic difference %","AI Traffic difference","Referral ","Referral previous","Referral difference %","Referral difference","Organic Search ","Organic Search previous","Organic Search difference %","Organic Search difference","Google AI Mode ","Google AI Mode previous","Google AI Mode difference %","Google AI Mode difference","Paid Search ","Paid Search previous","Paid Search difference %","Paid Search difference","Organic Social ","Organic Social previous","Organic Social difference %","Organic Social difference","Paid Social ","Paid Social previous","Paid Social difference %","Paid Social difference","Email ","Email previous","Email difference %","Email difference","Display Ads ","Display Ads previous","Display Ads difference %","Display Ads difference","Purchase Conversion ","Purchase Conversion previous","Purchase Conversion difference %","Purchase Conversion difference","Pages / Visit ","Pages / Visit previous","Pages / Visit difference %","Pages / Visit difference","Unique Visitors ","Unique Visitors previous","Unique Visitors difference %","Unique Visitors difference","Avg. Visit Duration ","Avg. Visit Duration previous","Avg. Visit Duration difference %","Avg. Visit Duration difference","Bounce Rate ","Bounce Rate previous","Bounce Rate difference %","Bounce Rate difference"
"flechabus.com.ar","35.12%","3917965","3093445","26.65%","824520","2813298","1808686","55.54%","1004612","2251","92","2.3K%","2159","151840","215248","-29.46%","-63408","812997","986705","-17.6%","-173708","108","no change","100%","108","107241","71114","50.8%","36127","7793","10659","-26.89%","-2866","1106","116","853.45%","990","1963","625","214.08%","1338","19368","200","9.6K%","19168","3.96%","0.63%","529.96%","0.033272962623098784","4.356412831661334","2.6404028518367064","64.99%","1.7160099798246278","1684911","1919067","-12.2%","-234156","07:05","06:48","4.17%","17","38.12%","54.49%","-30.04%","-0.16369592621565732"
"andesmar.com","12.16%","1356278","1617005","-16.12%","-260727","873921","954197","-8.41%","-80276","696","no change","100%","696","27527","35085","-21.54%","-7558","380245","581323","-34.59%","-201078","no change","no change","no change","no change","63385","43359","46.19%","20026","6065","428","1.3K%","5637","531","2493","-78.7%","-1962","3616","120","2.9K%","3496","292","no change","100%","292","0.82%","no change","100%","0.008237986607465431","5.261253223896576","4.489327491256985","17.19%","0.7719257326395912","772030","938009","-17.69%","-165979","06:13","06:19","-1.58%","-6","34.66%","35.28%","-1.77%","-0.0062313762379861415"
"plusmar.com.ar","8.92%","995426","939492","5.95%","55934","569001","517583","9.93%","51418","384","44","772.73%","340","34891","9904","252.29%","24987","381011","404593","-5.83%","-23582","no change","no change","no change","no change","5770","5469","5.5%","301","1334","186","617.2%","1148","no change","no change","no change","no change","3035","1713","77.17%","1322","no change","no change","no change","no change","no change","no change","no change","no change","5.233092163556106","3.9203888910176987","33.48%","1.312703272538407","613494","560601","9.44%","52893","05:22","06:34","-18.27%","-72","28.7%","39.69%","-27.68%","-0.10988883806970784"
"nuevachevallier.com","8.89%","991524","1101526","-9.99%","-110002","558425","646467","-13.62%","-88042","671","57","1.1K%","614","25523","44024","-42.02%","-18501","349174","383996","-9.07%","-34822","no change","no change","no change","no change","54284","21175","156.36%","33109","1993","4727","-57.84%","-2734","166","52","219.23%","114","1231","999","23.22%","232","57","29","96.55%","28","4.67%","0.98%","375.14%","0.0368384639262317","5.137108128497141","2.6277636660414734","95.49%","2.509344462455668","573452","573186","0.05%","266","07:42","05:42","35.09%","120","31.62%","53.85%","-41.27%","-0.2222338477155391"
"viatac.com.ar","8.55%","954113","911183","4.71%","42930","426936","327755","30.26%","99181","482","no change","100%","482","44852","23944","87.32%","20908","478600","559016","-14.39%","-80416","no change","no change","no change","no change","no change","no change","no change","no change","2938","468","527.78%","2470","no change","no change","no change","no change","305","no change","100%","305","no change","no change","no change","no change","no change","no change","no change","no change","1.7139510728813043","1.7606540069338432","-2.65%","-0.04670293405253889","561677","514812","9.1%","46865","06:58","06:42","3.98%","16","68.59%","68.65%","-0.08%","-0.000582349634648538"
"viabariloche.com.ar","8.14%","908498","903194","0.59%","5304","317946","352306","-9.75%","-34360","382","92","315.22%","290","56549","28530","98.21%","28019","531553","522102","1.81%","9451","no change","no change","no change","no change","no change","no change","no change","no change","1247","164","660.37%","1083","no change","no change","no change","no change","820","no change","100%","820","1","no change","100%","1","no change","no change","no change","no change","1.7391364648023442","1.8850900249558789","-7.74%","-0.14595356015353467","579277","554577","4.45%","24700","06:52","06:28","6.19%","24","68.25%","64.05%","6.57%","0.042050529343971466"
"lavelozdelnorte.com.ar","7.64%","852618","750449","13.61%","102169","550349","343967","60%","206382","43","154","-72.08%","-111","12449","28200","-55.85%","-15751","275349","368964","-25.37%","-93615","no change","no change","no change","no change","9923","8533","16.29%","1390","4172","630","562.22%","3542","no change","no change","no change","no change","214","1","21.3K%","213","119","no change","100%","119","8.6%","1.36%","531.04%","0.07241207692346656","3.7722989662427957","2.832032556509503","33.2%","0.9402664097332929","428373","308270","38.96%","120103","06:02","05:44","5.23%","18","34.81%","56.33%","-38.2%","-0.21516056550343182"
"catainternacional.com","4.45%","496015","415185","19.47%","80830","288716","251318","14.88%","37398","5219","no change","100%","5219","20138","2071","872.38%","18067","166320","161567","2.94%","4753","no change","no change","no change","no change","12403","no change","100%","12403","584","229","155.02%","355","269","no change","100%","269","2366","no change","100%","2366","no change","no change","no change","no change","0.27%","1.28%","-79.31%","-0.010180080482725305","5.703101720714091","6.030911521369991","-5.44%","-0.32780980065590004","277228","247671","11.93%","29557","04:12","07:57","-47.17%","-225","24.21%","35.12%","-31.06%","-0.109089775993855"
"generalurquiza.com.ar","3.89%","434312","867600","-49.94%","-433288","259437","289097","-10.26%","-29660","59","no change","100%","59","12330","19868","-37.94%","-7538","141495","543658","-73.97%","-402163","no change","no change","no change","no change","18502","8177","126.27%","10325","1158","6155","-81.19%","-4997","66","no change","100%","66","543","367","47.96%","176","722","278","159.71%","444","9.49%","3.17%","199.14%","0.06314760872733424","4.508885317467627","2.5169213923467035","79.14%","1.9919639251209231","249812","351448","-28.92%","-101636","04:58","07:29","-33.63%","-151","27.25%","70.42%","-61.3%","-0.43165749459497116"
"unibus.com.ar","2.23%","249142","194035","28.4%","55107","128841","124366","3.6%","4475","42","no change","100%","42","84512","42211","100.21%","42301","15399","5922","160.03%","9477","no change","no change","no change","no change","19152","20902","-8.37%","-1750","618","34","1.7K%","584","212","186","13.98%","26","166","414","-59.9%","-248","200","no change","100%","200","no change","no change","no change","no change","4.7506442109319185","3.8763212822428943","22.56%","0.8743229286890242","170357","123345","38.11%","47012","05:27","05:04","7.57%","23","38.28%","36.32%","5.38%","0.019535088291390335"
