"Domain ","Market Share ","Visits ","Visits previous","Visits difference %","Visits difference","Direct ","Direct previous","Direct difference %","Direct difference","AI Traffic ","AI Traffic previous","AI Traffic difference %","AI Traffic difference","Referral ","Referral previous","Referral difference %","Referral difference","Organic Search ","Organic Search previous","Organic Search difference %","Organic Search difference","Google AI Mode ","Google AI Mode previous","Google AI Mode difference %","Google AI Mode difference","Paid Search ","Paid Search previous","Paid Search difference %","Paid Search difference","Organic Social ","Organic Social previous","Organic Social difference %","Organic Social difference","Paid Social ","Paid Social previous","Paid Social difference %","Paid Social difference","Email ","Email previous","Email difference %","Email difference","Display Ads ","Display Ads previous","Display Ads difference %","Display Ads difference","Purchase Conversion ","Purchase Conversion previous","Purchase Conversion difference %","Purchase Conversion difference","Pages / Visit ","Pages / Visit previous","Pages / Visit difference %","Pages / Visit difference","Unique Visitors ","Unique Visitors previous","Unique Visitors difference %","Unique Visitors difference","Avg. Visit Duration ","Avg. Visit Duration previous","Avg. Visit Duration difference %","Avg. Visit Duration difference","Bounce Rate ","Bounce Rate previous","Bounce Rate difference %","Bounce Rate difference"
"centraldepasajes.com.ar","33.72%","20895565","24596508","-15.05%","-3700943","13731709","16551173","-17.03%","-2819464","5276","607","769.19%","4669","935271","1390522","-32.74%","-455251","5063683","5747479","-11.9%","-683796","1643","no change","100%","1643","960327","698895","37.41%","261432","74727","25540","192.59%","49187","5115","13016","-60.7%","-7901","77253","157043","-50.81%","-79790","40561","12233","231.57%","28328","0.02%","< 0.01%","146.53%","0.0001104523533038291","4.229362785835176","4.287318142884348","-1.35%","-0.05795535704917221","10612039","11036603","-3.85%","-424564","06:51","06:59","-1.91%","-8","40.42%","39.21%","3.07%","0.012055966602385837"
"plataforma10.com.ar","31.2%","19332170","19055977","1.45%","276193","11649354","11289038","3.19%","360316","4364","486","797.94%","3878","724347","590266","22.72%","134081","5135232","6205341","-17.24%","-1070109","62","no change","100%","62","1705575","896024","90.35%","809551","27638","35740","-22.67%","-8102","8140","10588","-23.12%","-2448","48440","21170","128.81%","27270","29018","7324","296.2%","21694","5.81%","6.1%","-4.65%","-0.002836572263318432","3.490048142552026","2.854449498968224","22.27%","0.6355986435838021","10640136","10766735","-1.18%","-126599","06:50","06:51","-0.24%","-1","47.59%","52.25%","-8.92%","-0.04657831329683504"
"busplus.com.ar","10.59%","6559688","5688100","15.32%","871588","4917496","4293510","14.53%","623986","448","no change","100%","448","644627","649923","-0.81%","-5296","791936","613700","29.04%","178236","no change","no change","no change","no change","185558","122139","51.92%","63419","10195","3825","166.54%","6370","556","927","-40.02%","-371","8783","4076","115.48%","4707","89","no change","100%","89","6.84%","6.45%","6.13%","0.003951219043894519","4.088400850772171","4.168589687241785","-1.92%","-0.08018883646961417","2610717","2261374","15.45%","349343","08:25","08:29","-0.79%","-4","39.93%","40.35%","-1.05%","-0.004219204458198844"
"busbud.com","6.33%","3923842","6396443","-38.66%","-2472601","2485967","3265148","-23.86%","-779181","5279","794","564.86%","4485","170297","265816","-35.93%","-95519","1090781","2455795","-55.58%","-1365014","83","no change","100%","83","161179","155770","3.47%","5409","1753","2654","-33.95%","-901","694","421","64.85%","273","5361","248885","-97.85%","-243524","2448","1160","111.03%","1288","< 0.01%","< 0.01%","190.66%","0.0000315953668179203","3.499175552940205","3.6966399919455233","-5.34%","-0.1974644390053184","2173870","3885633","-44.05%","-1711763","05:13","06:00","-13.06%","-47","38.36%","39.21%","-2.18%","-0.008559518014812917"
"flechabus.com.ar","6.32%","3917965","3093445","26.65%","824520","2813298","1808686","55.54%","1004612","2251","92","2.3K%","2159","151840","215248","-29.46%","-63408","812997","986705","-17.6%","-173708","108","no change","100%","108","107241","71114","50.8%","36127","7793","10659","-26.89%","-2866","1106","116","853.45%","990","1963","625","214.08%","1338","19368","200","9.6K%","19168","3.96%","0.63%","529.96%","0.033272962623098784","4.356412831661334","2.6404028518367064","64.99%","1.7160099798246278","1684911","1919067","-12.2%","-234156","07:05","06:48","4.17%","17","38.12%","54.49%","-30.04%","-0.16369592621565732"
"andesmar.com","2.19%","1356278","1617005","-16.12%","-260727","873921","954197","-8.41%","-80276","696","no change","100%","696","27527","35085","-21.54%","-7558","380245","581323","-34.59%","-201078","no change","no change","no change","no change","63385","43359","46.19%","20026","6065","428","1.3K%","5637","531","2493","-78.7%","-1962","3616","120","2.9K%","3496","292","no change","100%","292","0.82%","no change","100%","0.008237986607465431","5.261253223896576","4.489327491256985","17.19%","0.7719257326395912","772030","938009","-17.69%","-165979","06:13","06:19","-1.58%","-6","34.66%","35.28%","-1.77%","-0.0062313762379861415"
"plusmar.com.ar","1.61%","995426","939492","5.95%","55934","569001","517583","9.93%","51418","384","44","772.73%","340","34891","9904","252.29%","24987","381011","404593","-5.83%","-23582","no change","no change","no change","no change","5770","5469","5.5%","301","1334","186","617.2%","1148","no change","no change","no change","no change","3035","1713","77.17%","1322","no change","no change","no change","no change","no change","no change","no change","no change","5.233092163556106","3.9203888910176987","33.48%","1.312703272538407","613494","560601","9.44%","52893","05:22","06:34","-18.27%","-72","28.7%","39.69%","-27.68%","-0.10988883806970784"
"nuevachevallier.com","1.6%","991524","1101526","-9.99%","-110002","558425","646467","-13.62%","-88042","671","57","1.1K%","614","25523","44024","-42.02%","-18501","349174","383996","-9.07%","-34822","no change","no change","no change","no change","54284","21175","156.36%","33109","1993","4727","-57.84%","-2734","166","52","219.23%","114","1231","999","23.22%","232","57","29","96.55%","28","4.67%","0.98%","375.14%","0.0368384639262317","5.137108128497141","2.6277636660414734","95.49%","2.509344462455668","573452","573186","0.05%","266","07:42","05:42","35.09%","120","31.62%","53.85%","-41.27%","-0.2222338477155391"
"viatac.com.ar","1.54%","954113","911183","4.71%","42930","426936","327755","30.26%","99181","482","no change","100%","482","44852","23944","87.32%","20908","478600","559016","-14.39%","-80416","no change","no change","no change","no change","no change","no change","no change","no change","2938","468","527.78%","2470","no change","no change","no change","no change","305","no change","100%","305","no change","no change","no change","no change","no change","no change","no change","no change","1.7139510728813043","1.7606540069338432","-2.65%","-0.04670293405253889","561677","514812","9.1%","46865","06:58","06:42","3.98%","16","68.59%","68.65%","-0.08%","-0.000582349634648538"
"viabariloche.com.ar","1.47%","908498","903194","0.59%","5304","317946","352306","-9.75%","-34360","382","92","315.22%","290","56549","28530","98.21%","28019","531553","522102","1.81%","9451","no change","no change","no change","no change","no change","no change","no change","no change","1247","164","660.37%","1083","no change","no change","no change","no change","820","no change","100%","820","1","no change","100%","1","no change","no change","no change","no change","1.7391364648023442","1.8850900249558789","-7.74%","-0.14595356015353467","579277","554577","4.45%","24700","06:52","06:28","6.19%","24","68.25%","64.05%","6.57%","0.042050529343971466"
