Boletos,Ingresos,% Δ,Cantidad,% Δ
Mendoza → Santiago,91426015.40471898,149.64428317035535,1776,147
Santiago → Mendoza,79991059.143288,28.402241656078523,1207,26.431818181818183
Mendoza → Viña Del Mar,68683702.95614101,1233.2085117811573,959,958
Viña Del Mar → Mendoza,61444231.943988994,318.77221907896524,784,260.3333333333333
Bariloche → Puerto Montt,25940249.986604996,52.59002166186555,457,34.15384615384615
CORDOBA → Mendoza,28007427.482709,21.794172255667917,453,21.65
Mendoza → CORDOBA,24084942.010363,38.53471199949879,384,37.4
Bariloche → Osorno,17860500.019771997,21.619680836657416,341,14.5
Retiro Buenos Aires → Mendoza,30830750.993745007,21.77466766592839,339,21.6
Mendoza → NEUQUEN,23458911.788041003,30.670845428768466,322,28.272727272727273
NEUQUEN → Mendoza,20804407.495908994,19.2147435638542,292,18.466666666666665
Puerto Montt → Bariloche,15718499.987033,21.579185554538412,276,13.526315789473685
Bariloche → Puerto Varas,14578485.983918998,189.19551109874982,260,129
Mendoza → Retiro Buenos Aires,23212355.879497997,33.43356644673893,255,30.875
NEUQUEN → LAS GRUTAS,10156979.984255,196.3762172059647,230,114
Mendoza → Buenos Aires,20534114.738438,39.59810323316764,227,36.833333333333336
LAS GRUTAS → NEUQUEN,9550999.141559,91.80022564344341,212,52
Mendoza → Los Árboles,1361640.0109849998,,201,
Bariloche → Santiago,15324750.018734002,17.711538424142812,196,16.818181818181817
San Pedro De Atacama → Salta,17954999.98304,,190,
Puerto Varas → Bariloche,10887735.993991999,135.43779465542113,190,94
Buenos Aires → Mendoza,17008750.004756,32.138662554818445,189,30.5
Osorno → Bariloche,9904421.510534002,23.437259984463843,187,14.583333333333334
Salta → San Pedro De Atacama,17577000.008345,,186,
CORDOBA → Salta,14822736.986924995,,176,
Mendoza → Puente del Inca,2936290.003549,,175,
Los Árboles → Mendoza,1167960.012768,,172,
NEUQUEN → Bariloche,5595884.3628320005,22.77787198432956,170,23.285714285714285
Mendoza → Penitentes,2788119.990705,18.524649437447945,169,15.9
Cipolletti - RNG → Mendoza,11898289.997545004,,166,
Mendoza → Cipolletti - RNG,11936089.989852002,,163,
