BOLETOS TOTALES,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,TOTAL,CRECIMIENTO,,,,,
22,13141,12138,9793,8061,6616,8570,13342,9164,12332,12304,13137,16421,135019,,,,,,
23,19858,14807,12548,11927,10749,12168,13924,8709,15236,14306,14183,19407,167822,24.3%,,,,,
24,21612,18427,17895,14494,12239,14189,17566,13775,15293,15914,17162,21481,200047,19.2%,,,,,
25,24197,18261,13781,13207,10140,10239,13253,10730,9873,7932,12487,14278,158378,-20.8%,,,,,
Respecto mes anterior 23,21%,-25%,-15%,-5%,-10%,13%,14%,-37%,75%,-6%,-1%,37%,,,,,,,
Respecto mes anterior 24,11%,-15%,-3%,-19%,-16%,16%,24%,-22%,11%,4%,8%,25%,,,,,,,
Respecto mes anterior 25,13%,-25%,-25%,-4%,-23%,1%,29%,-19%,-8%,-20%,57%,14%,,,,,,,
Interanual 24 vs 23,9%,24%,43%,22%,14%,17%,26%,58%,0%,11%,21%,11%,,,,,,,
Interanual 25 vs 24,12%,-1%,-23%,-9%,-17%,-28%,-25%,-22%,-35%,-50%,-27%,-34%,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
BOLETOS PAID,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,TOTAL,CRECIMIENTO,,,,,
22,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
23,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,,,,,
24,12211,11533,12162,6887,5118,10531,11769,9314,10171,10958,10575,13399,124628,#DIV/0!,,,,,
25,14640,10964,9838,10764,8300,8456,10034,9037,7405,5024,8124,10268,112855,-9.4%,,,,,
Respecto mes anterior 24,#DIV/0!,-6%,5%,-43%,-26%,106%,12%,-21%,9%,8%,-3%,27%,,,,,,,
Respecto mes anterior 25,9%,-25%,-10%,9%,-23%,2%,19%,-10%,-18%,-32%,62%,26%,,,,,9994.6,,676201674.4
Interanual 24 vs 23,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
Interanual 25 vs 24,20%,-5%,-19%,56%,62%,-20%,-15%,-3%,-27%,-54%,-23%,-23%,,,,,6896.274,,466579155.3
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
BOLETOS ORGÁNICO,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,TOTAL,CRECIMIENTO,,,,,
22,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,
23,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,
24,9401,6894,5733,7607,7121,3658,5797,4461,5122,4956,6587,8082,75419,#REF!,,,,,
25,9557,7297,3943,2443,1840,1783,3219,1693,2468,2908,4364,4010,45523,-39.6%,,,,,
Respecto mes anterior 24,#REF!,-27%,-17%,33%,-6%,-49%,58%,-23%,15%,-3%,33%,23%,,,,,,,
Respecto mes anterior 25,18%,-24%,-46%,-38%,-25%,-3%,81%,-47%,46%,18%,50%,-8%,,,,,,,
Interanual 24 vs 23,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,
Interanual 25 vs 24,2%,6%,-31%,-68%,-74%,-51%,-44%,-62%,-52%,-41%,-34%,-50%,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,0.6050378146,0.6004040476,0.7138959437,0.8150299084,0.8185798817,0.8258814337,0.7571417792,0.8421808015,0.750015193,0.6334341906,0.6505565788,,,,,,,,
,0.3949621854,0.3995959524,0.2861040563,0.1849700916,0.1814201183,0.1741185663,0.2428582208,0.1578191985,0.249984807,0.3665658094,0.3494434212,,,,,,,,
