Boletos,Ingresos,% Δ,Cantidad,% Δ
Mendoza → Santiago,75120409.020629,3.441707652084685,1446,3.2280701754385963
Santiago → Mendoza,62359117.365655,2.0639508743925314,930,1.897196261682243
Mendoza → Viña Del Mar,66192052.966781005,24.985181666280624,910,17.2
Viña Del Mar → Mendoza,58652281.94886,18.65493181919203,741,15.108695652173912
Bariloche → Puerto Montt,20091749.992508996,2.1727740027589606,348,1.8524590163934427
CORDOBA → Mendoza,17367288.261581,0.4632663986377777,278,0.4256410256410256
Bariloche → Osorno,13681500.019763,1.7535925644943287,258,1.457142857142857
Mendoza → NEUQUEN,17177166.932238,1.4460345128520833,234,1.3636363636363635
Mendoza → CORDOBA,14574550.009687,0.44022956679437314,229,0.3878787878787879
NEUQUEN → Mendoza,15055039.988214,1.2209864570717304,212,1.231578947368421
Retiro Buenos Aires → Mendoza,19169687.594296,0.47291524323535183,208,0.4246575342465753
Puerto Montt → Bariloche,11360999.991794001,1.2480781229719053,196,0.9797979797979798
NEUQUEN → LAS GRUTAS,8831209.98898,5.412298616973241,192,3.8
LAS GRUTAS → NEUQUEN,8251759.142693,4.885033915206152,176,3.4
Bariloche → Puerto Varas,9911235.987207001,1.089259047078811,174,0.9772727272727273
Mendoza → Los Árboles,1179360.0044800001,5.47004587663129,170,4.483870967741935
Mendoza → Puente del Inca,2807770.003723,20.84694994961383,166,17.444444444444443
Salta → San Pedro De Atacama,14553000.011928001,3.812500009646558,154,3.8125
Bariloche → Santiago,12169500.011544,2.062087181593962,154,1.9056603773584906
Mendoza → Retiro Buenos Aires,14095847.588583998,0.43972860239093514,153,0.39090909090909093
Los Árboles → Mendoza,1044480.004253,7.458697215963665,151,6.190476190476191
Puerto Varas → Bariloche,8388735.999282999,2.252961073739566,144,2
Osorno → Bariloche,7741421.511083,2.0142201097800925,144,1.6181818181818182
NEUQUEN → Bariloche,4753444.369942001,3.41040324264421,144,3.3636363636363638
Mendoza → Buenos Aires,13005424.742886,0.6187014898206249,142,0.5604395604395604
Mendoza → Penitentes,2374000.005027,3.262730831959801,140,2.58974358974359
Mendoza → Cipolletti - RNG,10070239.992068,4.39713267627518,137,4.269230769230769
Cipolletti - RNG → Mendoza,9566240.000293,3.1020732881222526,133,3.0303030303030303
CORDOBA → Salta,11223904.988279998,2.11876325221792,132,2
Salta → CORDOBA,9611305.010139002,2.606853454268265,122,2.388888888888889
Buenos Aires → Mendoza,10734240.005850999,0.5814089170125316,118,0.5324675324675324
San Pedro De Atacama → Salta,11056499.989327,0.6027397259409184,117,0.6027397260273972
Puente del Inca → Mendoza,1894589.99515,12.267437044420115,111,10.1
Penitentes → Mendoza,1883209.9943849999,2.5642554912165965,111,2
Santiago → Bariloche,8268750.016442001,1.3542600903858484,107,1.2765957446808511
Bariloche → NEUQUEN,3664109.9933720003,4.438947301630926,107,4.095238095238095
Salta → Calama,9828000.003421,3.521739128401336,104,3.5217391304347827
Mendoza → SAN LUIS,2034760.00182,1.1389256791161209,97,1.2045454545454546
Mendoza → BAHIA BLANCA,11903207.702982001,2.0020397533723484,96,1.8235294117647058
Mendoza → Mar del Plata,12520790.00591,3.702290913565063,94,3.272727272727273
Mar del Plata → Mendoza,12247187.517146999,3.514426451294079,94,2.9166666666666665
BAHIA BLANCA → Mendoza,11260120.009211998,2.2702486095531977,93,2.3214285714285716
Mendoza → Bariloche,8633400.001168,7.492855996337575,87,7.7
BAHIA BLANCA → Retiro Buenos Aires,4777260.000200001,0.8764154798679918,83,0.8444444444444444
Retiro Buenos Aires → Mar del Plata,3734409.994934,0.9926949710386749,78,0.5918367346938775
Mendoza → ROSARIO - SFE,5359469.999797999,9.932116327340529,77,10
TUCUMAN → Salta,2817932.0066589997,5.013178934402631,77,4.5
Mendoza → Las Vegas,589680.0031839999,1.836363613792295,77,1.3333333333333333
ROSARIO - SFE → Mendoza,5409870.0089070005,6.102363138935028,75,6.5
CORDOBA → SANTIAGO DEL ESTERO,3669509.996604,,73,
SAN LUIS → Mendoza,1501294.095756,1.4866154714117223,73,1.7037037037037037
Retiro Buenos Aires → BAHIA BLANCA,4200449.995952999,0.13624252129278827,72,0.14285714285714285
Mendoza → El Salto,548100.007024,2.6249999881960986,72,2
Mendoza → SANTA FE,6906450.0017,6.520334940837426,70,6
TUCUMAN → CORDOBA,4104279.995652,0.9870155671663623,69,1.0909090909090908
Calama → Salta,6426000.008153001,7.500000030595238,68,7.5
TUCUMAN → Mendoza,8481029.993556,1.7397047453813315,67,1.68
SANTA FE → Mendoza,6663570.00175,4.177397929402625,67,3.7857142857142856
Catriel → NEUQUEN,833269.937852,2.236628251094281,67,1.7916666666666667
Caleta Olivia → PUERTO MADRYN,3414315.000826,17.25153691876645,66,15.5
Bariloche → Mendoza,6289530.0019350005,0.6428825877350568,63,0.3404255319148936
Mendoza → Las Cuevas,1070040.006639,1.9973109695895603,63,1.52
NEUQUEN → TRELEW,4802849.998430999,1.303127515713991,62,1.0666666666666667
RIO GALLEGOS → PUERTO MADRYN,8717807.999869999,3.3903852594243507,60,2.75
Mendoza → TUCUMAN,6977799.998741,0.8777313748957691,60,0.9354838709677419
PUERTO MADRYN → NEUQUEN,4544382.217509001,1.9989389847215118,60,1.608695652173913
CORDOBA → TUCUMAN,3606417.0074320002,1.2456498001672254,60,1.4
