Boletos,Ingresos,% Δ,Cantidad,% Δ
Total,2150443287,,30354,
Mendoza → Santiago,92032915.4,4.28%,1788,5.89%
Santiago → Mendoza,82711636.03,3.85%,1251,4.12%
Mendoza → Viña Del Mar,68739352.96,3.20%,960,3.16%
Viña Del Mar → Mendoza,61636381.94,2.87%,787,2.59%
CORDOBA → Mendoza,29236137.49,1.36%,473,1.56%
Bariloche → Puerto Montt,26424299.99,1.23%,470,1.55%
Mendoza → CORDOBA,24694152.01,1.15%,394,1.30%
Bariloche → Osorno,18650100.02,0.87%,363,1.20%
Retiro Buenos Aires → Mendoza,32184481,1.50%,354,1.17%
Mendoza → NEUQUEN,24199621.78,1.13%,333,1.10%
NEUQUEN → Mendoza,21833577.49,1.02%,307,1.01%
Puerto Montt → Bariloche,16414649.99,0.76%,295,0.97%
Mendoza → Retiro Buenos Aires,23886475.88,1.11%,263,0.87%
Bariloche → Puerto Varas,14655135.98,0.68%,262,0.86%
Mendoza → Buenos Aires,21039904.74,0.98%,233,0.77%
NEUQUEN → LAS GRUTAS,10208439.98,0.47%,232,0.76%
LAS GRUTAS → NEUQUEN,9653919.141,0.45%,216,0.71%
Bariloche → Santiago,16143750.02,0.75%,207,0.68%
Mendoza → Los Árboles,1361640.011,0.06%,201,0.66%
Osorno → Bariloche,10309721.51,0.48%,199,0.66%
Buenos Aires → Mendoza,17522010.01,0.81%,195,0.64%
Puerto Varas → Bariloche,10967535.99,0.51%,192,0.63%
San Pedro De Atacama → Salta,17954999.98,0.83%,190,0.63%
Salta → San Pedro De Atacama,17577000.01,0.82%,186,0.61%
Mendoza → Penitentes,2930919.993,0.14%,179,0.59%
NEUQUEN → Bariloche,5831224.362,0.27%,177,0.58%
CORDOBA → Salta,14822736.99,0.69%,176,0.58%
Mendoza → Puente del Inca,2936290.004,0.14%,175,0.58%
Los Árboles → Mendoza,1167960.013,0.05%,172,0.57%
Cipolletti - RNG → Mendoza,11898290,0.55%,166,0.55%
Mendoza → Cipolletti - RNG,11936089.99,0.56%,163,0.54%
Salta → CORDOBA,12276039,0.57%,158,0.52%
Santiago → Bariloche,11781000.02,0.55%,154,0.51%
Penitentes → Mendoza,2411569.984,0.11%,148,0.49%
Mendoza → SAN LUIS,2986060.003,0.14%,141,0.46%
Retiro Buenos Aires → BAHIA BLANCA,7897240.001,0.37%,135,0.44%
Mendoza → BAHIA BLANCA,15868247.7,0.74%,130,0.43%
BAHIA BLANCA → Retiro Buenos Aires,7323210.005,0.34%,128,0.42%
Bariloche → NEUQUEN,4337789.989,0.20%,128,0.42%
Salta → Calama,12001500.01,0.56%,127,0.42%
Retiro Buenos Aires → Mar del Plata,5608459.987,0.26%,127,0.42%
BAHIA BLANCA → Mendoza,14703320.01,0.68%,121,0.40%
Puente del Inca → Mendoza,2037389.994,0.09%,121,0.40%
Mar del Plata → Mendoza,14960087.52,0.70%,118,0.39%
Mendoza → Mar del Plata,15183490,0.71%,116,0.38%
Mar del Plata → Retiro Buenos Aires,4886959.994,0.23%,112,0.37%
ANDESMAR,5643830.016,0.26%,111,0.37%
Bariloche → Mendoza,10117880.27,0.47%,110,0.36%
Mendoza → Las Vegas,797580.006,0.04%,110,0.36%
TUCUMAN → CORDOBA,6169829.991,0.29%,102,0.34%
SAN LUIS → Mendoza,2105044.098,0.10%,100,0.33%
Mendoza → Bariloche,9649948.499,0.45%,97,0.32%
Mendoza → El Salto,699300.0095,0.03%,96,0.32%
TUCUMAN → Mendoza,11576629.99,0.54%,92,0.30%
NEUQUEN → TRELEW,6888209.999,0.32%,92,0.30%
Mendoza → TUCUMAN,10693879.99,0.50%,91,0.30%
TUCUMAN → Salta,3286558.009,0.15%,91,0.30%
Catriel → NEUQUEN,1090719.936,0.05%,91,0.30%
Mendoza → Las Cuevas,1427040.003,0.07%,88,0.29%
NEUQUEN → PUERTO MADRYN,6294079.992,0.29%,87,0.29%
ROSARIO - SFE → Mendoza,6171570.01,0.29%,85,0.28%
CORDOBA → TUCUMAN,5212374.004,0.24%,85,0.28%
Mendoza → ROSARIO - SFE,5849719.997,0.27%,84,0.28%
PUERTO MADRYN → NEUQUEN,6059712.219,0.28%,83,0.27%
Mendoza → Penitenciaria Almafuerte,378840.0093,0.02%,82,0.27%
SANTA FE → Mendoza,7950620.001,0.37%,81,0.27%
Mendoza → SANTA FE,7824820.002,0.36%,80,0.26%
TRELEW → NEUQUEN,6218089.994,0.29%,79,0.26%
Resistencia → TRELEW,16685621.09,0.78%,78,0.26%
RIO GALLEGOS → PUERTO MADRYN,10703467,0.50%,76,0.25%
Calama → Salta,7182000.006,0.33%,76,0.25%
BAHIA BLANCA → PUERTO MADRYN,5100429.995,0.24%,76,0.25%
Retiro Buenos Aires → PUERTO MADRYN,9190250.008,0.43%,75,0.25%
Mendoza → Los Arboles,440999.9922,0.02%,75,0.25%
CORDOBA → SANTIAGO DEL ESTERO,3669509.997,0.17%,73,0.24%
SIERRA GRANDE - RNG → PUERTO MADRYN,1006229.997,0.05%,72,0.24%
Retiro Buenos Aires → SAN LUIS,4930720.558,0.23%,70,0.23%
Caleta Olivia → PUERTO MADRYN,3601385,0.17%,70,0.23%
Bariloche → Valdivia,3633000.003,0.17%,68,0.22%
Salta → TUCUMAN,2207772.006,0.10%,68,0.22%
NEUQUEN → Catriel,771569.9923,0.04%,68,0.22%
BAHIA BLANCA → CORDOBA,7209541.332,0.34%,67,0.22%
Caleta Olivia → TRELEW,3137676.995,0.15%,67,0.22%
TRELEW → Caleta Olivia,2804545.99,0.13%,67,0.22%
Mendoza → Piedras Blancas,538964.9368,0.03%,67,0.22%
SAN LUIS → Retiro Buenos Aires,4596980.003,0.21%,66,0.22%
Las Vegas → Mendoza,489073.1237,0.02%,66,0.22%
Las Cuevas → Mendoza,1064390.004,0.05%,64,0.21%
Cipolletti - RNG → Catriel,728744.9886,0.03%,64,0.21%
Mendoza → Salta,9128010,0.42%,62,0.20%
CORDOBA → San Salvador de Jujuy,5373530.251,0.25%,62,0.20%
